trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
410,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-103.76588396962693,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
411,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-134.32262961837878,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
412,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-152.2268716339406,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
413,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-96.84435286141552,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
414,False,"{'a': 0.4, 'e': 0.9999999}",35,0,-126.90581884956437,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
415,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-91.88936882436987,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
416,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-122.50375855538974,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
417,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-117.68181621545719,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
418,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-108.88672468137305,"{0: 18, 1: 5, 2: 4, 3: 3, 4: 0}",0
419,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-125.90050824961193,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
420,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-100.48273177955595,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
421,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-131.77728509899927,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
422,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-142.51363217560908,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
423,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-34.324374837199294,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
424,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-79.86658235837321,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
425,False,"{'a': 0.4, 'e': 0.9999999}",35,0,-227.50917326682423,"{0: 18, 1: 2, 2: 10, 3: 3, 4: 2}",0
426,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-111.69501896556922,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
427,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-69.44374397149326,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
428,False,"{'a': 0.4, 'e': 0.9999999}",30,4,-97.2786795554848,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 1}",1
429,False,"{'a': 0.4, 'e': 0.9999999}",25,4,-122.74602080922105,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 1}",1
430,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-156.51205997308307,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
431,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-68.11681347035066,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
432,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-109.81709884554051,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
433,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-66.72387052639769,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
434,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-68.65197646885329,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
435,False,"{'a': 0.4, 'e': 0.9999999}",30,0,-165.23878206900153,"{0: 20, 1: 5, 2: 0, 3: 2, 4: 3}",0
436,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-68.82726069831035,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
437,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-105.77238612166794,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
438,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-139.4657588060542,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
439,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-42.20837336675183,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
440,False,"{'a': 0.4, 'e': 0.9999999}",25,3,-81.5458911582228,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 1}",1
441,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-119.59999346332042,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
442,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-75.41863996787589,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
443,False,"{'a': 0.4, 'e': 0.9999999}",20,9,-16.27508604489115,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
444,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-33.22744485251635,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
445,False,"{'a': 0.4, 'e': 0.9999999}",25,0,-60.396252821261044,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
446,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-134.22398418087963,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
447,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-103.53862120197888,"{0: 7, 1: 6, 2: 6, 3: 1, 4: 0}",0
448,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-88.51265163509545,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
449,False,"{'a': 0.4, 'e': 0.9999999}",20,0,-180.40850353688495,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
